input_sentence,label_sentence
"نتمنى من قوات الامن حفظهم الله اتباع وسائل الحمايةوالاحتياطات <extra_id_0> التعامل مع هؤلاء المجرمين وعدم الاستهتار , وتوقع اسوأ الامور لذلك الحرص واجب يا شباب , ادامكم الله ذخرا <extra_id_1> في ظل القيادة الهاشمية , ورحم الله <extra_id_2> </s>",<extra_id_0> بشكل جدي عند <extra_id_1> وفخرا للاردنيين <extra_id_2> الشهيد </s>
و الادارة الحكيمة للسيد عزت حمزة يبقى البيت <extra_id_0> </s>,<extra_id_0> الوحداتي </s>
''الاحتلال يدرس خيارات إضافية لسرقة أراض وزرعها بالمستوطنات URL <extra_id_0> </s>,<extra_id_0> الاحتلال URL </s>
قتل بسبب مباره ؟ <extra_id_0> </s>,<extra_id_0> ؟ </s>
يسأل البعض من المهتمين بقناه سمور الوحداتييه عن تردد القناه ونود <extra_id_0> وافيه عن قناه سمور الوحداتييه <extra_id_1> </s>,<extra_id_0> اعلامكم بمعلومات <extra_id_1> : </s>
"ويبدو ان الضغوط من اتجاهين <extra_id_0> يلتقيين , واحد يدفعة الى التفاوض المباشر وهواسرائيلي امريكي اوروبي ورضع بعض العرب واخر يدعوه للرفض وهو فلسطيني متعدد الاوجه والاسباب وكل <extra_id_1> </s>",<extra_id_0> مختلفين لا <extra_id_1> له دوافعه واسبابه </s>
وكان جنود إسرائيليين <extra_id_0> ، اليوم ، إلى منطقة الخط الأزرق وطلب منهم الجنود اللبنانيين بالعودة وعدم التقدم داخل الأراضي اللبنانية ، لكن جنود الدورية الإسرائيلية ادعوا أنهم <extra_id_1> وقام الجنود من الجانب اللبناني بإطلاق النار <extra_id_2> </s>,<extra_id_0> قد دخلوا <extra_id_1> في المنطقة الإسرائيلية <extra_id_2> باتجاههم </s>
''RT USER : Shia militias crimes عاجل من العراق انظروا <extra_id_0> عصابات ايران الهمجيهاطفال الشيعه على شق رؤوسهم بالسكاكين مروع هذه <extra_id_1> </s>,<extra_id_0> كيف تجبر <extra_id_1> جر…'' </s>
معالي ابو <extra_id_0> حكيم و عادل و صاحب رؤيه . اتمنى له دوام التقدم و <extra_id_1> </s>,<extra_id_0> عدي رجل <extra_id_1> التوفيق </s>
صباح الغد وجمعة مباركة عليكم و على <extra_id_0> </s>,<extra_id_0> الوحدات </s>
''christmas decoration at residential building lafleurnyc NYC Harlem tree @ <extra_id_0> </s>,<extra_id_0> هارلم URL </s>
لا حول ولا قوة الا بالله ، وانا لله وانا <extra_id_0> </s>,<extra_id_0> اليه راجعين </s>
من الجيد انه يكون في لجان مراقبة تقوم بدراسات كهذه ولكن <extra_id_0> </s>,<extra_id_0> المهم هو </s>
الى نادي الملايين الأردنية الى الوحدات اقول كل التوفيق اليوم . يا ترى من سيشارك و من سيغيب من النجوم : شفيع <extra_id_0> شاهين محارمة بهداري سمرين فتحي دميري حليمو الياس جمال شعلان يحيى جمعه البرغوثي ابو طعيمة الردادية رافت <extra_id_1> السباح ابو حويطي شلباية كشكش عوض العتال الديسي فتيان البنا . ما شاء <extra_id_2> . <extra_id_3> </s>,<extra_id_0> ، قنديل شلبية <extra_id_1> حسن الذيب <extra_id_2> الله <extra_id_3> لا قوة الا </s>
ارجو اعلامكم بأن صندوق المعونة الوطنيه بادر بالاتصال مع الحاله وتبين : - <extra_id_0> السيد رأفت ( <extra_id_1> ) لايحمل رقم وطني وان زوجته <extra_id_2> تتقاضى معونه شهريه من صندوق المعونة الوطنيه وبواقع 60 دينار شهريالكون الزوج غير اردني وتتقاضى ايضا 55 دينار من <extra_id_3> </s>,<extra_id_0> بأن <extra_id_1> ابو فادي <extra_id_2> اردنية الجنسيه <extra_id_3> صندوق الزكاة </s>
''أمريكا قبل روسيا والنظام تريد القضاء على فصائل المعارضة لأنها لم تلزمهم <extra_id_0> جبهة النصرة وهي قادرة على ذلك لتبرير لروسيا <extra_id_1> </s>,<extra_id_0> بالانفصال عن <extra_id_1> موقفها.'' </s>
اكتفي بان اقول كل التأييد لما ورد في المقال وارجو ان <extra_id_0> </s>,<extra_id_0> يتحقق الهدف </s>
واللى ماتوا فى بورسعيد عشان رجال ، لما قاوموا حكم عسكر <extra_id_0> </s>,<extra_id_0> كالجبال ️ </s>
إنشاء الله تعالى سوف تثمر جهودكم في هذا المشروع الذي يعد الأجرأ من نوعه <extra_id_0> </s>,<extra_id_0> . . </s>
'ومن السنة أحاديث كثيرة ، منها <extra_id_0> صلى الله عليه وسلم '' نهى المحرمة أن تنتقب وأن تلبس البرقع '' ، فدل على أنها قبل الإحرام كانت <extra_id_1> </s>,<extra_id_0> : أن النبي <extra_id_1> تغطي وجهها' </s>
بالنسبة لموضوع <extra_id_0> الفيصلي الآن ، ، يعني <extra_id_1> لي صديق مقرب علي يعمل في مجال الطب النفسي وقد شاهد المباراة ليلة الأمس معي ولكن <extra_id_2> قال لي : جمهور الفيصلي رح يفضح حالو ويعمل كركبة على حالو وهاي الحالة <extra_id_3> اتكون عكسية عليهم ورح يبسطوا احمد عبد الحليم بالذات ورأفت ورفاقه وهذه الحالة تأتي من الضغط الشديد الواقع عليهم وعدم <extra_id_4> على الإستيعاب SLOWLY MIND ) كما <extra_id_5> شبه فريق الوحدات بحبة البصل لا أدري ما السبب لكن اتوقع من أحد الأسباب لجعل <extra_id_6> تجهش بالبكاءأو لأسباب أخرى <extra_id_7> ، على العموم شكرا جزيلا لكم يا جمهور الفيصلي <extra_id_8> والمتواضع على ما قدمتوه من إبداع على الهواء مباشرة وللعلم أول الأشخاص من اللذين كتبوا عنكم اليوم هو المبدع ( مصطفى الآغا ) الذي مدح فيكم أيام <extra_id_9> مقالته اليوم واأسفاه واحسرتاه أتمنى عدم قراءة المقال يا جمهور <extra_id_10> من دون سن ال 25 سنة ، على العموم شاهدنا مباراة رائعة من الطرفين وشاهدنا جماهير رائعة فوق الخيال من طرف واحد وأكيد <extra_id_11> الأخضر جماهيرك يا وحدات . . وأتقدم أنا عباس <extra_id_12> وأحر <extra_id_13> إلى طارق خوري ملك بنطلونات الجينز والشخصية المرموقة والمحبوبة وإلى جميع اللاعبين <extra_id_14> وإلى جماهيرنا وإلى <extra_id_15> </s>,<extra_id_0> جمهور <extra_id_1> أنا <extra_id_2> الطريف بالموضوع بأنه <extra_id_3> النفسية رح <extra_id_4> المقدرة <extra_id_5> أنه <extra_id_6> جماهير الفيصلي <extra_id_7> لديه <extra_id_8> القليل <extra_id_9> الدوري الماضي لكن <extra_id_10> الفيصلي المتواضع القليل من هو <extra_id_11> هنا أخص بالذكر جماهير <extra_id_12> بأجمل <extra_id_13> التهاني والتبريك <extra_id_14> وذويهم <extra_id_15> الأمام إنشالله </s>
لا شيخ للكره الاردنيه <extra_id_0> </s>,<extra_id_0> سوى </s>
3 : أن يقوم الرئيس الاميركي <extra_id_0> باراك أوباما ، بتوجيه دعوة إلى الطرفين تتضمن أسس ومبادئ <extra_id_1> </s>,<extra_id_0> ، <extra_id_1> ومرجعيات المفاوضات </s>
وكان هناك الكثير من العيارات الناريه بلعربي كل المفرق سمعتها وأنا على <extra_id_0> </s>,<extra_id_0> التلفزيون سمعت </s>
الفيصلي لا يخشى أحدا <extra_id_0> لا وحدات ولا حتى برشلونة ، ولكنه حق شرعي أن تكون <extra_id_1> أرض بطل الدوري وهو <extra_id_2> ، والملعب البديل أيضا نظريا هو ملعب الأمير محمد بالزرقاء ، وليس كما يقول الأخ تيسير أن ملعب الفيصلي نظريا هو ملعب الأمير <extra_id_3> </s>,<extra_id_0> . . <extra_id_1> المباراة على <extra_id_2> نظريا ستاد عمان <extra_id_3> محمد </s>
اما تصرف بعض جمهور الفيصلي فعيب يا اخوان احنا بالقرن الواحد وعشرين <extra_id_0> </s>,<extra_id_0> . . </s>
'' USER USER ولو انظم لهم دماركوس كازينز هل بيكون <extra_id_0> </s>,<extra_id_0> منافس لكليفلاند'' </s>
تقرير مصيري السبت ؟ <extra_id_0> </s>,<extra_id_0> ؟ </s>
لقد امرنا الله تعالى بالتداوي والدعاء لله تعالى وحده اما غير ذلك <extra_id_0> </s>,<extra_id_0> كله خرافات </s>
'' USER USER هه حزب الله حطموا اسطورة الميركافا <extra_id_0> عام 2006 بينما السعودية كانت مهتمة في <extra_id_1> </s>,<extra_id_0> الاسرائيليه <extra_id_1> بول البعير'' </s>
نتمنى ان يكون هناك تحقيق <extra_id_0> في موضوع قتل الطفلة سيلين بخطا طبي فادح لا يرتكبه الا انسان مستهتر بحياة المواطنين ولا يستحق ان يؤتمن على حياة <extra_id_1> </s>,<extra_id_0> جدي <extra_id_1> المرضى في بلدنا </s>
''اليمنية| في أول رد على انتهاك الهدنة.. التحالف يستهدف مواقع الميليشيا في الحوبان URL <extra_id_0> </s>,<extra_id_0> … URL </s>
''رفض الكونجرس الأمريكي بأغلبية ساحقة يوم الأربعاء <extra_id_0> استخدمه الرئيس باراك اوباما ضد تشريع يتيح URL <extra_id_1> </s>,<extra_id_0> الفيتو الذي <extra_id_1> URL </s>
أما طرد مهاجم الجزيرة فهو صحيح 100 <extra_id_0> </s>,<extra_id_0> % </s>
خلق جميل الشعور <extra_id_0> </s>,<extra_id_0> بالغير </s>
"قرار صائب من الاتحاد ولكن منقوص . . كان من الاولى والاجدر ان يقوم الاتحاد بمحاسبة كوادره عن هذا الخطأ , ليس من باب المعاقبة بل من باب التطوير والتقويم والتحسين الذي <extra_id_0> ما يحتاجه اتحادنا الموقر . تخيلوا لوان هذا الخطأ حصل في نهاية الموسم <extra_id_1> مصيرية <extra_id_2> ! ! الله الله فينا وفي كرتنا <extra_id_3> </s>",<extra_id_0> اكثر <extra_id_1> او في مباراة <extra_id_2> . . <extra_id_3> يا اتحاد ! </s>
تقبل الله طاعاتكم وأدامكم لنا <extra_id_0> </s>,<extra_id_0> وللوطن </s>
لذلك رفقا بنا وبتفكيرنا المحدود يا حكومتنا . . فنحن لم نعد قادرين على <extra_id_0> مايدور حولنا مما <extra_id_1> </s>,<extra_id_0> ادراك <extra_id_1> نراه ونعايشه </s>
''الممثل الأمريكي روبرت دي نيرو.. يصف دونالد ترامب بالكلب التافه <extra_id_0> </s>,<extra_id_0> ،، URL </s>
الفيصلي والوحدات وشباب الاردن والجزيرة والاهلي والبقعة واليرموك <extra_id_0> </s>,<extra_id_0> من </s>
( رمضان شهر التقوى <extra_id_0> </s>,<extra_id_0> والإحسان </s>
- في التحليل : <extra_id_0> </s>,<extra_id_0> لمواقف </s>
رابعا : الاهم لو اخلصت لها الدهر ورأت منك شر تقول <extra_id_0> </s>,<extra_id_0> مارايت منك </s>
اللعبة الواحده قد لا تتجاوز <extra_id_0> </s>,<extra_id_0> دقيقتين </s>
''قال رسول الله ﷺ:من لم يهتم لأمر المسلمين فليس منهم .عجبي لمن يقول وماذا عساني أن <extra_id_0> جاهد ولو بالدعاءستبقي حلبحلب <extra_id_1> </s>,<extra_id_0> أغير ؟ <extra_id_1> في قلووبنا'' </s>
كلام غير مقنع ، ذكرني بأسلوب المستشرقين عندما يكتبون في مباحث إسلامية . رأيي الضعيف والمتواضع أن سبب امتناع إسرائيل عن <extra_id_0> إيران <extra_id_1> </s>,<extra_id_0> توجيه ضربة إلى <extra_id_1> هو </s>
وبالنسبة للزيتون والمحاصيل <extra_id_0> عموما فان القطاعين العام والخاص انفقا الكثير من الاموال لفتح الاسواق الخارجية <extra_id_1> </s>,<extra_id_0> الزراعية <extra_id_1> امام الصادرات </s>
'آن أوان الحجر و البشر لينفضوا غبار الاستسلام و التخاذل و ينتفضوا لصد الاعتداءات الحقيرة والمجازر البشعة التي ترتكب '' <extra_id_0> الشعب الفلسطيني في ظل تنسيق أمني غير مسبوق هدفه حماية المستوطنات <extra_id_1> </s>,<extra_id_0> يوميا '' بحق <extra_id_1> ليس إلا' </s>
هل هناك عوائق <extra_id_0> </s>,<extra_id_0> شخصية </s>
''RT USER : برشلونة مهتم بالتعاقد مع موهبة تشيلسي الدفاعية <extra_id_0> </s>,<extra_id_0> URL برشلونة'' </s>
وضمن احتفالات الأردن بالأعياد الوطنية ( عيد الاستقلال ، عيد الجلوس الملكي ، عيد الجيش وعيد الثورة العربية الكبرى ) يتشرف المجلس <extra_id_0> الأردني <extra_id_1> </s>,<extra_id_0> العشائري الشركسي <extra_id_1> وجمهوريات القفقاس </s>
''الضباط الفرنسيين الذين يتحدث <extra_id_0> عن تواجدهم في حلب المحاصرة مثل تواجد مصنع أحرار الشام للاسلحه الكيماوي بصفحة فيسبوك مواليه <extra_id_1> </s>,<extra_id_0> الجعفري <extra_id_1> ونقله عنها'' </s>
هل عرفتم من عميد وعقيد <extra_id_0> </s>,<extra_id_0> الكره </s>
2 ما هي الية اختيار <extra_id_0> </s>,<extra_id_0> هؤلاء </s>
يقام العزاء للرجال بقاعة مسجد <extra_id_0> </s>,<extra_id_0> الفيحاء </s>
عمان ستصبح خضراء <extra_id_0> </s>,<extra_id_0> يوم </s>
كمشجع وحداتي أتمنى له النجاح أينما ذهب . . <extra_id_0> </s>,<extra_id_0> ولكن . </s>
الحل المنطقي اقامة المبارة في ارض محايدة / ملعب مدينة <extra_id_0> </s>,<extra_id_0> الحسن في </s>
'هذا ناهيك عن صرف الأموال على الوسائد والملاءات الإضافية لكل غرفة نوم '' ! <extra_id_0> </s>,<extra_id_0> . .' </s>
وعلينا ما عليكم من <extra_id_0> </s>,<extra_id_0> سماء </s>
والله الذي لا اله الا هو اني فكرت بان الحادث قد حدث في منطقة الاستاد الذي حدثت فيه المباراه ولكن بعد قراءة الخبر صدمت بانه وقع في الاردن متناسيا امرين اولهما ان مشجعي الفريقين الاسبان والهولنديون يملكون <extra_id_0> الروح الرياضيه <extra_id_1> من القيام بمثل ذلك وثانيهما ان <extra_id_2> في الاردن قد وصلوا من التخلف درجه تؤدي الى قتل انسان برئ <extra_id_3> ليس لهم فيه شئ لا في العير ولا في النفير قد بلغ التخلف اعلى درجاته <extra_id_4> نفقطة اللا رجوع <extra_id_5> </s>,<extra_id_0> من <extra_id_1> ما يمنعهم <extra_id_2> العديد من الناس <extra_id_3> من اجل امر <extra_id_4> الى <extra_id_5> وحسبنا الله ونعم </s>
شكرا الي كل منهم على قافلة انصار 1 والله يصبركم <extra_id_0> </s>,<extra_id_0> وجزاكم الله </s>
7 : يأمل وينتظر الفلسطينيون دعم الجانب العربي في الاجتماع الوزاري في طلبهم مرجعية <extra_id_0> </s>,<extra_id_0> للتفاوض المباشر </s>
8 : طالب بمحاسبة أعضاء الحركة الذين لم يلتزموا بقراراتها بخصوص قوائم الانتخابات <extra_id_0> كان قرار تأجيلها على جدول أعمال المجلس <extra_id_1> </s>,<extra_id_0> ، التي <extra_id_1> الثوري </s>
''Retweeted حقوق الإنسان الهيئة ( USER ):وكالة اللاجئين/ الأمم المتحدة: التمويل أمر مصيري مع <extra_id_0> </s>,<extra_id_0> URL URL </s>
وذلك في تمام الساعة السادسة من مساء يوم الأربعاء 28 . <extra_id_0> </s>,<extra_id_0> 7 . </s>
ولمن لم يحالفه الحظ أيضا مبروك وايضا بطل وأيضا نعتز به لسبب بسيط يكفي <extra_id_0> وسفيرا له ؛ وإن لم يحرز شيئا هذه المرة فالجايات أكثر يا أبطال <extra_id_1> بشار البطل صاحب المعنويات والهمة العالية دائما . والله <extra_id_2> </s>,<extra_id_0> أنه يمثل الأردن <extra_id_1> وأخص هنا <extra_id_2> رجال </s>
المشكلة لا تكمن <extra_id_0> احتفالنا بكاس العالم ، لانه في صيف عمان كل يوم احتفال ( تخريج <extra_id_1> ، تخريج جامعات ، فوز منتخبات ، اعراس ، <extra_id_2> يوجد طريقة حضارية للتعبير عن مشاعر البهجة والفرحة الا بالازعاج والتزمير واغلاق الشوارع وتأخير الناس ، ومجددا قتل الناس ، اي ثقافة <extra_id_3> </s>,<extra_id_0> في <extra_id_1> مدارس <extra_id_2> . ) الا <extra_id_3> يتبعها هذ الشعب </s>
الى متى ستستمر <extra_id_0> </s>,<extra_id_0> هذه </s>
''أبل تكشف حجم الطلبات الحكومية لترصد عملائها URL <extra_id_0> </s>,<extra_id_0> URL </s>
بداية كل الأمنيات لفريق نادي الوحدات بالتوفيق و الفوز بكأس <extra_id_0> </s>,<extra_id_0> السوبر الأردني </s>
''RT USER : أبل والجسار: توفير الخدمات العامة لأهالي مدينة صباح الأحمد <extra_id_0> </s>,<extra_id_0> URL URL </s>
الدولة تخسر تاريخامكتنزا وصياد الكنوز <extra_id_0> مالا ووقتا في البحث . . اجمالا <extra_id_1> . هناك العديد من النماذج الناجحة في هذا السياق مثال القانون المصري في هذا الشأن وإن لم نشأ فهناك أيضا القانون الأميركي في <extra_id_2> </s>,<extra_id_0> يخسر <extra_id_1> الجميع خاسر <extra_id_2> موضوع الإقتسام والمحاصصة </s>
نتمنى ان تشمل <extra_id_0> </s>,<extra_id_0> العداله </s>
اللهم اجبر كسرهم وكن معهم ولا تكن <extra_id_0> </s>,<extra_id_0> عليهم </s>
1 : لإقناعهم ببدء المحادثات المباشرة مع “ <extra_id_0> </s>,<extra_id_0> إسرائيل” </s>
'1 : دعا '' لجنة المتابعة العربية إلى عدم <extra_id_0> قرار بشأن الانتقال إلى المفاوضات المباشرة ، خلال اجتماعها المقرر يوم الخميس المقبل ، لترك المساحة الزمنية <extra_id_1> المباشرة ومن ثم دراسة القضايا بشمولية والبحث في النتائج <extra_id_2> </s>,<extra_id_0> اتخاذ <extra_id_1> اللازمة لانتهاء المفاوضات غير <extra_id_2> '' </s>
''استمعو لاغنيه أنا بحن صابر الرباعي : URL <extra_id_0> </s>,<extra_id_0> Christmas'' </s>
تلك المتوجة بالطموح . والمكللة بالفلاح <extra_id_0> </s>,<extra_id_0> . </s>
''الناتو نفذ 30 ألف غارة بليبيا 2011 دمروا الجيش <extra_id_0> 30 ألف مقاتل بهدف السيطرة على خيراتها وسيطرت إيطاليا على قاعدة <extra_id_1> </s>,<extra_id_0> وقتلوا <extra_id_1> الجفرة .'' </s>
المتحدث الرسمي باسم الرئاسة المصرية السفير سليمان عواد ، أكد أن الاتصالات الأمريكية التي تلقاها الرئيس محمد حسني مبارك مؤخرا أكدت التزام الجانب الأمريكي بإقامة الدولة <extra_id_0> حل الدولتين ، والتزام الرئيس الأمريكي شخصيا بمواصلة جهوده لإطلاق مفاوضات سلام <extra_id_1> إطار زمني محدد . تلقى الرئيس مبارك رسالة خطية من الرئيس <extra_id_2> اتصالين هاتفيين من نائب الرئيس الأمريكي <extra_id_3> بايدن ووزيرة الخارجية الأمريكية هيلاري <extra_id_4> </s>,<extra_id_0> الفلسطينية المستقلة وفق <extra_id_1> في <extra_id_2> الأمريكي باراك أوباما تبعها <extra_id_3> جوزيف <extra_id_4> كلينتون </s>
''القنوات السورية تبث مباشرة وعلي الهواء صور الاف النازحين السوريين وعيالهم لانري اعدامات ولا جثث ولا قتل كما <extra_id_0> واخواتها <extra_id_1> </s>,<extra_id_0> تروج الجزيرة <extra_id_1> URL </s>
انا من احد قراء هذا الصحيفة المتمتميزة منذا <extra_id_0> في عام 2004 حيث امتازة بدقة <extra_id_1> </s>,<extra_id_0> نشأتها الاولى <extra_id_1> الخبر </s>
جماهيرنا أكبر من انها تتمسك بملعب <extra_id_0> </s>,<extra_id_0> معين </s>
